,,,OMIE - Mercado de electricidad,Fecha Emisión :05/03/2024 - 13:55,Unnamed: 2,06/03/2024,Precios y volúmenes del mercado diario,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Fecha,Hora,Precio marginal en el sistema español (EUR/MWh),Precio marginal en el sistema portugués (EUR/MWh),Energía total de compra sistema español (MWh),Energía total de venta sistema español (MWh),Energía total de compra sistema portugués (MWh),Energía total de venta sistema portugués (MWh),Energía total de compra del mercado Ibérico (MWh),Energía total de venta del mercado Ibérico (MWh),Energía total con bilaterales del mercado Ibérico (MWh),
06/03/2024,1,"    71,00","    71,00","  15586,0","  13436,3","   6108,7","   8277,1","  21694,7","  21713,4","  31072,9",
06/03/2024,2,"    50,50","    50,50","  14183,7","  12571,4","   5605,9","   7918,2","  19789,6","  20489,6","  29188,8",
06/03/2024,3,"    50,51","    50,51","  16910,1","  15723,5","   5196,9","   7083,5","  22107,0","  22807,0","  27830,4",
06/03/2024,4,"    50,01","    50,01","  16654,7","  15413,1","   4971,1","   6912,7","  21625,8","  22325,8","  27173,3",
06/03/2024,5,"    41,64","    41,64","  16617,7","  15318,1","   4861,6","   6861,2","  21479,3","  22179,3","  27061,7",
06/03/2024,6,"    50,01","    50,01","  13963,6","  12396,0","   4821,0","   7088,6","  18784,6","  19484,6","  27689,6",
06/03/2024,7,"    65,68","    50,68","  15365,4","  12905,4","   4953,3","   8113,3","  20318,7","  21018,7","  30460,1",
06/03/2024,8,"   106,64","   106,64","  19500,1","  15418,0","   5433,6","   8482,8","  24933,7","  23900,8","  35127,6",
06/03/2024,9,"   108,70","   108,70","  20425,7","  18129,3","   6134,2","   8787,5","  26559,9","  26916,8","  37745,7",
06/03/2024,10,"    25,00","    25,00","  25976,8","  25891,3","   6957,3","   7742,8","  32934,1","  33634,1","  39855,0",
06/03/2024,11,"    14,24","    14,24","  27597,1","  28391,9","   7042,9","   6948,1","  34640,0","  35340,0","  41103,9",
06/03/2024,12,"     5,96","     5,96","  27304,9","  29349,0","   7334,8","   5990,7","  34639,7","  35339,7","  41185,8",
06/03/2024,13,"     4,07","     4,07","  27032,1","  29912,6","   7683,0","   5502,5","  34715,1","  35415,1","  41339,6",
06/03/2024,14,"     3,90","     3,90","  27291,2","  29957,1","   7608,1","   5642,2","  34899,3","  35599,3","  41530,9",
06/03/2024,15,"     3,87","     3,87","  27109,1","  29832,9","   7739,0","   5715,2","  34848,1","  35548,1","  41431,3",
06/03/2024,16,"     3,90","     3,90","  26476,5","  29184,6","   7706,4","   5698,3","  34182,9","  34882,9","  40631,9",
06/03/2024,17,"     5,87","     5,87","  25787,0","  27407,3","   7225,9","   6305,6","  33012,9","  33712,9","  39323,0",
06/03/2024,18,"    18,75","    18,75","  25483,5","  25065,6","   6750,6","   7868,5","  32234,1","  32934,1","  38184,0",
06/03/2024,19,"    41,64","    29,60","  24074,1","  21579,1","   6947,6","  10142,6","  31021,7","  31721,7","  37251,7",
06/03/2024,20,"   119,27","    50,48","  21126,4","  18211,9","   7505,0","  10700,0","  28631,4","  28911,9","  39868,7",
06/03/2024,21,"   103,75","    93,74","  22802,9","  17607,9","   8067,4","  11262,4","  30870,3","  28870,3","  42301,2",
06/03/2024,22,"    80,15","    49,31","  21702,9","  16558,5","   8048,5","  11243,5","  29751,4","  27802,0","  41390,9",
06/03/2024,23,"    54,46","    29,07","  23066,5","  20571,5","   7599,6","  10794,6","  30666,1","  31366,1","  38409,4",
06/03/2024,24,"    23,67","    21,66","  21226,3","  18731,3","   7008,1","  10203,1","  28234,4","  28934,4","  36122,7",
05/03/2024,1,"     7,36","     7,36","  18761,3","  19666,4","   6274,0","   7168,9","  25035,3","  26835,3","  33289,1",
05/03/2024,2,"     4,66","     4,66","  17857,1","  19405,0","   5675,6","   5927,7","  23532,7","  25332,7","  31304,6",
05/03/2024,3,"     4,66","     4,66","  17229,4","  18823,9","   5331,3","   5536,8","  22560,7","  24360,7","  30017,4",
05/03/2024,4,"     5,00","     5,00","  17101,3","  18455,6","   5060,0","   5505,7","  22161,3","  23961,3","  29267,3",
05/03/2024,5,"     6,00","     6,00","  17137,0","  18008,9","   4912,3","   5790,4","  22049,3","  23799,3","  28902,1",
05/03/2024,6,"     8,23","     8,23","  16984,9","  17412,6","   4896,0","   6218,3","  21880,9","  23630,9","  28572,1",
05/03/2024,7,"    24,10","    24,10","  19647,4","  18404,4","   5025,1","   7468,1","  24672,5","  25872,5","  31556,1",
05/03/2024,8,"    50,01","    35,00","  22953,7","  20851,7","   5523,0","   8825,0","  28476,7","  29676,7","  35333,3",
05/03/2024,9,"    61,45","    61,45","  20905,4","  19165,5","   6080,8","   9020,7","  26986,2","  28186,2","  38014,1",
05/03/2024,10,"    17,63","    17,63","  27966,6","  27707,7","   6787,1","   8246,0","  34753,7","  35953,7","  40783,2",
05/03/2024,11,"     8,00","     8,00","  28000,8","  30405,7","   7797,5","   6592,6","  35798,3","  36998,3","  41585,6",
05/03/2024,12,"     4,60","     4,60","  28329,0","  32260,1","   7736,1","   5105,0","  36065,1","  37365,1","  41953,4",
05/03/2024,13,"     4,00","     4,00","  28342,8","  32808,8","   7795,1","   4629,1","  36137,9","  37437,9","  41887,7",
05/03/2024,14,"     3,90","     3,90","  28308,6","  32698,6","   7650,9","   4560,9","  35959,5","  37259,5","  41699,9",
05/03/2024,15,"     3,90","     3,90","  27966,9","  32409,8","   7664,9","   4522,0","  35631,8","  36931,8","  41322,8",
05/03/2024,16,"     4,00","     4,00","  27139,9","  31822,8","   7669,2","   4486,3","  34809,1","  36309,1","  40430,7",
05/03/2024,17,"     5,83","     5,83","  26567,8","  30080,0","   7682,8","   5670,6","  34250,6","  35750,6","  39764,3",
05/03/2024,18,"    17,00","    17,00","  26084,2","  26253,9","   6928,6","   8258,9","  33012,8","  34512,8","  38274,9",
05/03/2024,19,"    50,51","    50,51","  24578,3","  24055,1","   7046,3","   8969,5","  31624,6","  33024,6","  36945,8",
05/03/2024,20,"   125,17","   125,17","  21894,9","  20260,9","   7491,1","   8712,5","  29386,0","  28973,4","  39427,1",
05/03/2024,21,"   129,47","   129,47","  23500,4","  19836,8","   8133,2","   8698,8","  31633,6","  28535,6","  41654,9",
05/03/2024,22,"    99,12","    99,12","  22930,1","  19193,0","   8046,0","   8685,1","  30976,1","  27878,1","  40924,8",
05/03/2024,23,"    85,41","    85,41","  20225,6","  17812,0","   7527,4","   8657,0","  27753,0","  26469,0","  37421,9",
05/03/2024,24,"    72,86","    72,86","  17181,4","  15713,2","   6911,7","   8617,2","  24093,1","  24330,4","  33559,4",
04/03/2024,1,"     6,00","     6,00","  19569,3","  21364,8","   5529,4","   6183,9","  25098,7","  27548,7","  29718,6",
04/03/2024,2,"     3,20","     3,20","  18432,9","  20091,3","   5172,7","   5964,3","  23605,6","  26055,6","  28046,6",
04/03/2024,3,"     3,20","     3,20","  18250,8","  19476,0","   4857,5","   6082,3","  23108,3","  25558,3","  27270,0",
04/03/2024,4,"     3,20","     3,20","  18031,1","  18915,2","   4638,6","   6204,5","  22669,7","  25119,7","  26674,8",
